0.00	1.853	0.0	-1.235	-0.109	0.09370	-0.420	-0.288	0.7121
0.01	1.870	0.0	-1.237	-0.112	0.09530	-0.417	-0.287	0.7146
0.02	1.953	0.0	-1.254	-0.104	0.10290	-0.400	-0.282	0.7204
0.03	2.070	0.0	-1.275	-0.097	0.11480	-0.348	-0.268	0.7335
0.04	2.205	0.0	-1.301	-0.088	0.10730	-0.276	-0.248	0.7405
0.05	2.354	0.0	-1.326	-0.085	0.10520	-0.212	-0.224	0.7514
0.08	2.631	0.0	-1.357	-0.078	0.08370	-0.144	-0.175	0.7618
0.10	2.854	0.0	-1.382	-0.075	0.07610	-0.271	-0.293	0.7812
0.15	2.966	0.0	-1.365	-0.027	0.05450	-0.483	-0.396	0.7832
0.20	2.739	0.0	-1.289	0.000	0.04930	-0.653	-0.446	0.7676
0.30	2.302	-0.1	-1.171	0.000	0.04690	-0.826	-0.457	0.7623
0.40	1.894	-0.1	-1.065	0.000	0.04000	-0.895	-0.430	0.7781
0.50	1.671	-0.1	-1.019	0.000	0.02710	-0.946	-0.374	0.7653
0.75	0.95211	-0.12347	-0.88393	0	0.0141	-1.00786	-0.28957	0.7863
1	0.52349	-0.14345	-0.81838	0	0	-1.01331	-0.28702	0.7849
1.5	-0.01867	-0.17187	-0.75751	0	0	-0.98071	-0.24695	0.8109
2	-0.42891	-0.19029	-0.72033	0	-0.009	-0.91007	-0.17336	0.8151
3	-1.05642	-0.21392	-0.69085	0	-0.0683	-0.85793	-0.13336	0.8083
4	-1.37536	-0.23848	-0.66482	0	-0.2231	-0.75645	-0.07749	0.7149
